2026-01-09T14:22:52.181847+00:00 | DB_CALL get_category_by_name | P3 | 0.08ms | success
2026-01-09T14:22:52.181957+00:00 | DB_CALL get_category_by_name | P3 | 0.07ms | success
2026-01-09T14:22:52.182060+00:00 | DB_CALL get_category_by_name | P3 | 0.07ms | success
2026-01-09T14:22:52.182152+00:00 | DB_CALL get_category_by_name | P3 | 0.06ms | success
2026-01-09T14:22:52.264493+00:00 | DB_CALL get_user_by_id | P3 | 0.18ms | success
2026-01-09T14:22:52.264715+00:00 | DB_CALL get_all_categories | P3 | 0.11ms | success
2026-01-09T14:22:52.410413+00:00 | DB_CALL get_user_by_id | P3 | 0.22ms | success
2026-01-09T14:22:52.410653+00:00 | DB_CALL get_all_categories | P3 | 0.11ms | success
2026-01-09T14:22:57.901452+00:00 | DB_CALL init_database | P3 | 2.67ms | success
2026-01-09T14:22:57.901742+00:00 | DB_CALL count_ingredients | P3 | 0.18ms | success
2026-01-09T14:22:57.901907+00:00 | DB_CALL count_products | P3 | 0.11ms | success
2026-01-09T14:22:57.902075+00:00 | DB_CALL count_users | P3 | 0.1ms | success
2026-01-09T14:23:23.743053+00:00 | DB_CALL get_user_by_username | P3 | 0.32ms | success
2026-01-09T14:23:23.760828+00:00 | DB_CALL get_user_by_id | P3 | 0.35ms | success
2026-01-09T14:23:23.761174+00:00 | DB_CALL count_ingredients | P3 | 0.13ms | success
2026-01-09T14:23:23.761329+00:00 | DB_CALL count_products | P3 | 0.1ms | success
2026-01-09T14:23:23.761475+00:00 | DB_CALL count_purchases | P3 | 0.1ms | success
2026-01-09T14:23:23.761578+00:00 | DB_CALL count_users | P3 | 0.07ms | success
2026-01-09T14:23:23.761685+00:00 | DB_CALL count_categories | P3 | 0.07ms | success
2026-01-09T14:23:23.792182+00:00 | DB_CALL get_user_by_id | P3 | 0.28ms | success
2026-01-09T14:23:39.715287+00:00 | DB_CALL get_user_by_username | P3 | 0.34ms | success
2026-01-09T14:23:39.781918+00:00 | DB_CALL get_user_by_id | P3 | 0.99ms | success
2026-01-09T14:23:39.782245+00:00 | DB_CALL get_user_by_id | P3 | 1.79ms | success
2026-01-09T14:23:39.782315+00:00 | DB_CALL get_user_by_id | P3 | 1.22ms | success
2026-01-09T14:23:39.783242+00:00 | DB_CALL get_all_products | P3 | 0.84ms | success
2026-01-09T14:23:39.784141+00:00 | DB_CALL count_ingredients | P3 | 1.82ms | success
2026-01-09T14:23:39.784257+00:00 | DB_CALL get_all_ingredients | P3 | 2.08ms | success
2026-01-09T14:23:39.785011+00:00 | DB_CALL count_products | P3 | 0.75ms | success
2026-01-09T14:23:39.785290+00:00 | DB_CALL count_purchases | P3 | 0.15ms | success
2026-01-09T14:23:39.785483+00:00 | DB_CALL get_all_products | P3 | 0.14ms | success
2026-01-09T14:23:39.859101+00:00 | DB_CALL get_user_by_id | P3 | 0.27ms | success
2026-01-09T14:23:39.859484+00:00 | DB_CALL get_ingredient_by_id | P3 | 0.21ms | success
2026-01-09T14:23:39.859742+00:00 | DB_CALL get_purchases_by_ingredient | P3 | 0.2ms | success
2026-01-09T14:23:44.828768+00:00 | DB_CALL get_user_by_id | P3 | 0.62ms | success
2026-01-09T14:23:44.830096+00:00 | DB_CALL get_user_by_id | P3 | 0.22ms | success
2026-01-09T14:23:44.832841+00:00 | DB_CALL count_ingredients | P3 | 3.65ms | success
2026-01-09T14:23:44.833355+00:00 | DB_CALL count_products | P3 | 0.43ms | success
2026-01-09T14:23:44.833429+00:00 | DB_CALL get_user_by_id | P3 | 0.28ms | success
2026-01-09T14:23:44.834181+00:00 | DB_CALL count_purchases | P3 | 0.75ms | success
2026-01-09T14:23:44.834569+00:00 | DB_CALL count_users | P3 | 0.21ms | success
2026-01-09T14:23:44.834812+00:00 | DB_CALL count_categories | P3 | 0.15ms | success
2026-01-09T14:24:10.174886+00:00 | DB_CALL get_user_by_username | P3 | 0.39ms | success
2026-01-09T14:24:10.230744+00:00 | DB_CALL get_user_by_id | P3 | 0.95ms | success
2026-01-09T14:24:10.231911+00:00 | DB_CALL get_user_by_id | P3 | 1.22ms | success
2026-01-09T14:24:10.232507+00:00 | DB_CALL get_all_ingredients | P3 | 1.44ms | success
2026-01-09T14:24:10.234235+00:00 | DB_CALL count_ingredients | P3 | 2.11ms | success
2026-01-09T14:24:10.234444+00:00 | DB_CALL get_user_by_id | P3 | 1.97ms | success
2026-01-09T14:24:10.234790+00:00 | DB_CALL count_products | P3 | 0.4ms | success
2026-01-09T14:24:10.234872+00:00 | DB_CALL get_all_products | P3 | 0.36ms | success
2026-01-09T14:24:10.235874+00:00 | DB_CALL count_purchases | P3 | 1.0ms | success
2026-01-09T14:24:10.236683+00:00 | DB_CALL get_all_products | P3 | 0.23ms | success
2026-01-09T14:24:10.309181+00:00 | DB_CALL get_user_by_id | P3 | 0.29ms | success
2026-01-09T14:24:10.309533+00:00 | DB_CALL get_ingredient_by_id | P3 | 0.16ms | success
2026-01-09T14:24:10.309758+00:00 | DB_CALL get_purchases_by_ingredient | P3 | 0.13ms | success
2026-01-09T14:24:12.072032+00:00 | DB_CALL get_user_by_id | P3 | 1.21ms | success
2026-01-09T14:24:12.072606+00:00 | DB_CALL get_user_by_id | P3 | 1.44ms | success
2026-01-09T14:24:12.074391+00:00 | DB_CALL get_user_by_id | P3 | 2.78ms | success
2026-01-09T14:24:12.074734+00:00 | DB_CALL count_ingredients | P3 | 0.15ms | success
2026-01-09T14:24:12.074859+00:00 | DB_CALL count_products | P3 | 0.07ms | success
2026-01-09T14:24:12.074975+00:00 | DB_CALL count_purchases | P3 | 0.08ms | success
2026-01-09T14:24:12.075078+00:00 | DB_CALL count_users | P3 | 0.06ms | success
2026-01-09T14:24:12.075175+00:00 | DB_CALL count_categories | P3 | 0.06ms | success
2026-01-09T14:24:15.327094+00:00 | DB_CALL get_user_by_id | P3 | 2.28ms | success
2026-01-09T14:24:15.333654+00:00 | DB_CALL get_user_by_id | P3 | 1.11ms | success
2026-01-09T14:24:15.339083+00:00 | DB_CALL get_user_by_id | P3 | 5.68ms | success
2026-01-09T14:24:15.340963+00:00 | DB_CALL count_ingredients | P3 | 1.41ms | success
2026-01-09T14:24:15.387388+00:00 | DB_CALL count_products | P3 | 46.3ms | success
